Text 1,Text 2,Cosine Similarity
Natural language processing helps computers understand and generate human language.,"Books provide information, knowledge, and entertainment to readers.",0.2764
Deep learning uses neural networks with multiple layers to process complex information.,The internet allows computers and people around the world to exchange information rapidly.,0.2722
The internet allows computers and people around the world to exchange information rapidly.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.2646
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,Electric vehicles use electric motors instead of traditional internal combustion engines.,0.2587
Climate change is causing long-term changes in global temperatures and weather patterns.,Inflation is a general increase in the prices of goods and services over time.,0.2554
The human brain contains billions of neurons that communicate through electrical and chemical signals.,The internet allows computers and people around the world to exchange information rapidly.,0.2529
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,"Books provide information, knowledge, and entertainment to readers.",0.251
"Books provide information, knowledge, and entertainment to readers.",Online education allows students to learn through digital platforms from different locations.,0.2463
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.2459
Machine learning allows computers to learn patterns from data without being explicitly programmed.,The human brain contains billions of neurons that communicate through electrical and chemical signals.,0.2453
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.2386
Climate change is causing long-term changes in global temperatures and weather patterns.,The internet allows computers and people around the world to exchange information rapidly.,0.2364
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.2313
Cybersecurity protects computer systems and networks from unauthorized access and attacks.,Online education allows students to learn through digital platforms from different locations.,0.222
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,Regular physical activity can improve cardiovascular health and overall fitness.,0.2205
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Online education allows students to learn through digital platforms from different locations.,0.2052
Photosynthesis allows green plants to convert light energy into chemical energy.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.2041
Machine learning allows computers to learn patterns from data without being explicitly programmed.,"Books provide information, knowledge, and entertainment to readers.",0.2034
Deep learning uses neural networks with multiple layers to process complex information.,Climate change is causing long-term changes in global temperatures and weather patterns.,0.1975
The internet allows computers and people around the world to exchange information rapidly.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.1974
The internet allows computers and people around the world to exchange information rapidly.,Inflation is a general increase in the prices of goods and services over time.,0.1972
Natural language processing helps computers understand and generate human language.,Online education allows students to learn through digital platforms from different locations.,0.1946
The human brain contains billions of neurons that communicate through electrical and chemical signals.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.1885
Climate change is causing long-term changes in global temperatures and weather patterns.,Economic growth refers to an increase in the production of goods and services in an economy.,0.1764
The internet allows computers and people around the world to exchange information rapidly.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.1716
Deep learning uses neural networks with multiple layers to process complex information.,Online education allows students to learn through digital platforms from different locations.,0.1697
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Online education allows students to learn through digital platforms from different locations.,0.1683
Climate change is causing long-term changes in global temperatures and weather patterns.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.1672
Machine learning allows computers to learn patterns from data without being explicitly programmed.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.167
The internet allows computers and people around the world to exchange information rapidly.,Economic growth refers to an increase in the production of goods and services in an economy.,0.1654
Natural language processing helps computers understand and generate human language.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.1653
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,The internet allows computers and people around the world to exchange information rapidly.,0.1618
The internet allows computers and people around the world to exchange information rapidly.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.1606
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Climate change is causing long-term changes in global temperatures and weather patterns.,0.1597
Natural language processing helps computers understand and generate human language.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.1592
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,The internet allows computers and people around the world to exchange information rapidly.,0.1587
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.1574
Economic growth refers to an increase in the production of goods and services in an economy.,"Books provide information, knowledge, and entertainment to readers.",0.1567
Deep learning uses neural networks with multiple layers to process complex information.,"Books provide information, knowledge, and entertainment to readers.",0.1556
Inflation is a general increase in the prices of goods and services over time.,"Books provide information, knowledge, and entertainment to readers.",0.1546
The human brain contains billions of neurons that communicate through electrical and chemical signals.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.1532
Climate change is causing long-term changes in global temperatures and weather patterns.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.1529
"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.","Books provide information, knowledge, and entertainment to readers.",0.1528
Deep learning uses neural networks with multiple layers to process complex information.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.1486
The human brain contains billions of neurons that communicate through electrical and chemical signals.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.1448
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Economic growth refers to an increase in the production of goods and services in an economy.,0.1442
Climate change is causing long-term changes in global temperatures and weather patterns.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.1433
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Electric vehicles use electric motors instead of traditional internal combustion engines.,0.1406
The Earth revolves around the Sun and completes one orbit approximately every 365 days.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.1388
The internet allows computers and people around the world to exchange information rapidly.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.1353
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Regular physical activity can improve cardiovascular health and overall fitness.,0.1347
Natural language processing helps computers understand and generate human language.,Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,0.1326
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.1326
Cybersecurity protects computer systems and networks from unauthorized access and attacks.,"Books provide information, knowledge, and entertainment to readers.",0.1295
Electric vehicles use electric motors instead of traditional internal combustion engines.,The internet allows computers and people around the world to exchange information rapidly.,0.1292
Natural language processing helps computers understand and generate human language.,Economic growth refers to an increase in the production of goods and services in an economy.,0.1278
Natural language processing helps computers understand and generate human language.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.1275
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.1274
Deep learning uses neural networks with multiple layers to process complex information.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.1255
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.1235
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Electric vehicles use electric motors instead of traditional internal combustion engines.,0.1235
Deep learning uses neural networks with multiple layers to process complex information.,Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,0.121
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,Economic growth refers to an increase in the production of goods and services in an economy.,0.1207
Regular physical activity can improve cardiovascular health and overall fitness.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.1207
Electric vehicles use electric motors instead of traditional internal combustion engines.,Regular physical activity can improve cardiovascular health and overall fitness.,0.1205
Natural language processing helps computers understand and generate human language.,Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,0.1187
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Regular physical activity can improve cardiovascular health and overall fitness.,0.118
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,0.1176
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,0.1159
Electric vehicles use electric motors instead of traditional internal combustion engines.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.1151
The Earth revolves around the Sun and completes one orbit approximately every 365 days.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.1132
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,"Books provide information, knowledge, and entertainment to readers.",0.1119
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,Online education allows students to learn through digital platforms from different locations.,0.1101
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,Economic growth refers to an increase in the production of goods and services in an economy.,0.1089
The human brain contains billions of neurons that communicate through electrical and chemical signals.,"Books provide information, knowledge, and entertainment to readers.",0.1087
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.1067
Natural language processing helps computers understand and generate human language.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.1066
Photosynthesis allows green plants to convert light energy into chemical energy.,Online education allows students to learn through digital platforms from different locations.,0.1053
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.1034
Regular physical activity can improve cardiovascular health and overall fitness.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.0999
Machine learning allows computers to learn patterns from data without being explicitly programmed.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.0988
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.0972
The human brain contains billions of neurons that communicate through electrical and chemical signals.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.0964
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,0.095
Electric vehicles use electric motors instead of traditional internal combustion engines.,Online education allows students to learn through digital platforms from different locations.,0.0933
Photosynthesis allows green plants to convert light energy into chemical energy.,Economic growth refers to an increase in the production of goods and services in an economy.,0.0929
The Earth revolves around the Sun and completes one orbit approximately every 365 days.,Economic growth refers to an increase in the production of goods and services in an economy.,0.0898
The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.0889
Deep learning uses neural networks with multiple layers to process complex information.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.0888
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.0887
Regular physical activity can improve cardiovascular health and overall fitness.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.0868
Electric vehicles use electric motors instead of traditional internal combustion engines.,Economic growth refers to an increase in the production of goods and services in an economy.,0.0857
Climate change is causing long-term changes in global temperatures and weather patterns.,Electric vehicles use electric motors instead of traditional internal combustion engines.,0.0838
The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.0832
Electric vehicles use electric motors instead of traditional internal combustion engines.,The human brain contains billions of neurons that communicate through electrical and chemical signals.,0.0827
Climate change is causing long-term changes in global temperatures and weather patterns.,"Books provide information, knowledge, and entertainment to readers.",0.082
Photosynthesis allows green plants to convert light energy into chemical energy.,"Books provide information, knowledge, and entertainment to readers.",0.0819
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,Electric vehicles use electric motors instead of traditional internal combustion engines.,0.0814
Natural language processing helps computers understand and generate human language.,Climate change is causing long-term changes in global temperatures and weather patterns.,0.079
The Earth revolves around the Sun and completes one orbit approximately every 365 days.,Inflation is a general increase in the prices of goods and services over time.,0.0782
The Earth revolves around the Sun and completes one orbit approximately every 365 days.,"Books provide information, knowledge, and entertainment to readers.",0.0781
The human brain contains billions of neurons that communicate through electrical and chemical signals.,Online education allows students to learn through digital platforms from different locations.,0.0761
Regular physical activity can improve cardiovascular health and overall fitness.,"Books provide information, knowledge, and entertainment to readers.",0.0758
The human brain contains billions of neurons that communicate through electrical and chemical signals.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.0743
Cybersecurity protects computer systems and networks from unauthorized access and attacks.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.0732
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Economic growth refers to an increase in the production of goods and services in an economy.,0.0718
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,The human brain contains billions of neurons that communicate through electrical and chemical signals.,0.0705
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Climate change is causing long-term changes in global temperatures and weather patterns.,0.0695
Deep learning uses neural networks with multiple layers to process complex information.,Electric vehicles use electric motors instead of traditional internal combustion engines.,0.0682
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,Regular physical activity can improve cardiovascular health and overall fitness.,0.0682
Deep learning uses neural networks with multiple layers to process complex information.,Regular physical activity can improve cardiovascular health and overall fitness.,0.0669
"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",Economic growth refers to an increase in the production of goods and services in an economy.,0.0661
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,Online education allows students to learn through digital platforms from different locations.,0.0648
Inflation is a general increase in the prices of goods and services over time.,Online education allows students to learn through digital platforms from different locations.,0.0626
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,0.0624
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,Inflation is a general increase in the prices of goods and services over time.,0.0623
The human brain contains billions of neurons that communicate through electrical and chemical signals.,Regular physical activity can improve cardiovascular health and overall fitness.,0.0619
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Inflation is a general increase in the prices of goods and services over time.,0.0602
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.0596
Deep learning uses neural networks with multiple layers to process complex information.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.0591
Electric vehicles use electric motors instead of traditional internal combustion engines.,Inflation is a general increase in the prices of goods and services over time.,0.0587
Climate change is causing long-term changes in global temperatures and weather patterns.,Regular physical activity can improve cardiovascular health and overall fitness.,0.0575
Economic growth refers to an increase in the production of goods and services in an economy.,Online education allows students to learn through digital platforms from different locations.,0.0573
Climate change is causing long-term changes in global temperatures and weather patterns.,Online education allows students to learn through digital platforms from different locations.,0.0542
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.0536
Deep learning uses neural networks with multiple layers to process complex information.,Inflation is a general increase in the prices of goods and services over time.,0.0528
"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",Online education allows students to learn through digital platforms from different locations.,0.0516
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Inflation is a general increase in the prices of goods and services over time.,0.0511
Machine learning allows computers to learn patterns from data without being explicitly programmed.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.0506
Deep learning uses neural networks with multiple layers to process complex information.,Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,0.0484
Natural language processing helps computers understand and generate human language.,Electric vehicles use electric motors instead of traditional internal combustion engines.,0.0484
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,The human brain contains billions of neurons that communicate through electrical and chemical signals.,0.0474
Cybersecurity protects computer systems and networks from unauthorized access and attacks.,Economic growth refers to an increase in the production of goods and services in an economy.,0.0452
Regular physical activity can improve cardiovascular health and overall fitness.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.043
Natural language processing helps computers understand and generate human language.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.0425
Natural language processing helps computers understand and generate human language.,Inflation is a general increase in the prices of goods and services over time.,0.0415
Electric vehicles use electric motors instead of traditional internal combustion engines.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.0411
The Earth revolves around the Sun and completes one orbit approximately every 365 days.,Online education allows students to learn through digital platforms from different locations.,0.0401
The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,Online education allows students to learn through digital platforms from different locations.,0.0384
The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,Economic growth refers to an increase in the production of goods and services in an economy.,0.038
Natural language processing helps computers understand and generate human language.,Regular physical activity can improve cardiovascular health and overall fitness.,0.0379
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,"Books provide information, knowledge, and entertainment to readers.",0.0369
Climate change is causing long-term changes in global temperatures and weather patterns.,The human brain contains billions of neurons that communicate through electrical and chemical signals.,0.034
The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,"Books provide information, knowledge, and entertainment to readers.",0.0337
Regular physical activity can improve cardiovascular health and overall fitness.,The internet allows computers and people around the world to exchange information rapidly.,0.0267
Regular physical activity can improve cardiovascular health and overall fitness.,Inflation is a general increase in the prices of goods and services over time.,0.0247
Cybersecurity protects computer systems and networks from unauthorized access and attacks.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.0225
The human brain contains billions of neurons that communicate through electrical and chemical signals.,Economic growth refers to an increase in the production of goods and services in an economy.,0.0206
Cybersecurity protects computer systems and networks from unauthorized access and attacks.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.0184
Regular physical activity can improve cardiovascular health and overall fitness.,Economic growth refers to an increase in the production of goods and services in an economy.,0.0165
Electric vehicles use electric motors instead of traditional internal combustion engines.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.0156
Deep learning uses neural networks with multiple layers to process complex information.,Economic growth refers to an increase in the production of goods and services in an economy.,0.0118
Climate change is causing long-term changes in global temperatures and weather patterns.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.0114
Regular physical activity can improve cardiovascular health and overall fitness.,Online education allows students to learn through digital platforms from different locations.,0.0045
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,Inflation is a general increase in the prices of goods and services over time.,-0.0019
"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",Inflation is a general increase in the prices of goods and services over time.,-0.0021
Regular physical activity can improve cardiovascular health and overall fitness.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,-0.0053
Electric vehicles use electric motors instead of traditional internal combustion engines.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,-0.0059
Deep learning uses neural networks with multiple layers to process complex information.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,-0.0127
Cybersecurity protects computer systems and networks from unauthorized access and attacks.,Photosynthesis allows green plants to convert light energy into chemical energy.,-0.0131
The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,Inflation is a general increase in the prices of goods and services over time.,-0.0159
Electric vehicles use electric motors instead of traditional internal combustion engines.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,-0.0185
Electric vehicles use electric motors instead of traditional internal combustion engines.,"Books provide information, knowledge, and entertainment to readers.",-0.0293
The human brain contains billions of neurons that communicate through electrical and chemical signals.,Inflation is a general increase in the prices of goods and services over time.,-0.0386
Cybersecurity protects computer systems and networks from unauthorized access and attacks.,Inflation is a general increase in the prices of goods and services over time.,-0.0604
Photosynthesis allows green plants to convert light energy into chemical energy.,Inflation is a general increase in the prices of goods and services over time.,-0.0741
